"correctPChoices","correctPOChoice","correctPTChoice","goodPOChoice","goodPTChoice","pOChoice","pTChoice","primeStrength","primeStrengthText","primeType","primeTypeText","responseCatMatchesPrimeCat","responseChoice","responseChoiceText","responseType","responseTypeText","rt","trial_type","uniqueID"
"False","True","False",0,1,0,0,0,"weak",4,"four","filler",1,"better",4,"four",2,"filler",1
"False","False","False",1,1,0,0,1,"strong",4,"four","filler",1,"better",4,"four",2,"filler",1
"True","True","True",1,1,1,1,1,"strong",3,"four","filler",0,"weak",3,"four",2,"filler",1
"True","True","True",0,0,0,0,1,"strong",1,"four","True",1,"better",1,"four",2,"response",1
"True","True","True",1,1,1,1,1,"strong",1,"four","False",0,"weak",0,"some",2,"response",1
"False","False","False",1,1,0,0,1,"strong",0,"some","True",0,"weak",0,"some",1,"response",1
"False","True","False",1,0,1,1,1,"strong",1,"four","True",1,"better",1,"four",2,"response",1
"True","True","True",0,0,0,0,0,"weak",1,"four","True",1,"better",1,"four",1,"response",1
"False","False","True",1,1,0,1,1,"strong",0,"some","True",0,"weak",0,"some",2,"response",1
"False","False","True",1,1,0,1,0,"weak",0,"some","False",1,"better",1,"four",2,"response",1
"False","False","True",0,0,1,0,1,"strong",0,"some","False",0,"weak",1,"four",2,"response",1
"False","True","False",0,0,0,1,0,"weak",0,"some","True",0,"weak",0,"some",2,"response",1
"False","True","False",0,0,0,1,1,"strong",1,"four","False",0,"weak",0,"some",2,"response",1
"False","False","True",0,1,1,1,1,"strong",0,"some","False",0,"weak",1,"four",2,"response",1
"False","False","True",1,1,0,1,0,"weak",0,"some","True",1,"better",0,"some",2,"response",1
"True","True","True",0,1,0,1,1,"strong",3,"four","filler",0,"weak",3,"four",2,"filler",1
"False","False","False",1,0,0,1,0,"weak",0,"some","False",1,"better",1,"four",11,"response",2
"False","False","False",1,0,0,1,0,"weak",1,"four","False",1,"better",0,"some",3,"response",2
"False","True","False",1,0,1,1,0,"weak",1,"four","True",0,"weak",1,"four",6,"response",2
"False","True","False",1,0,1,1,1,"strong",0,"some","True",1,"better",0,"some",5,"response",2
"False","False","True",0,0,1,0,1,"strong",3,"four","filler",1,"better",3,"four",3,"filler",2
"False","False","False",0,0,1,1,0,"weak",3,"four","filler",0,"weak",3,"four",3,"filler",2
"False","False","True",0,0,1,0,1,"strong",1,"four","True",1,"better",1,"four",4,"response",2
"False","False","False",0,1,1,0,0,"weak",4,"four","filler",1,"better",4,"four",5,"filler",2
"False","True","False",1,0,1,1,1,"strong",1,"four","False",0,"weak",0,"some",3,"response",2
"False","True","False",1,0,1,1,1,"strong",0,"some","True",1,"better",0,"some",3,"response",2
"False","False","False",1,1,0,0,0,"weak",0,"some","False",1,"better",1,"four",2,"response",2
"True","True","True",0,0,0,0,1,"strong",3,"four","filler",0,"weak",3,"four",6,"filler",2
"True","True","True",0,0,0,0,1,"strong",1,"four","True",1,"better",1,"four",4,"response",2
"False","False","False",0,1,1,0,1,"strong",4,"four","filler",1,"better",4,"four",3,"filler",2
"False","False","True",0,0,1,0,1,"strong",0,"some","True",0,"weak",0,"some",3,"response",2
"False","False","True",0,1,1,1,1,"strong",3,"four","filler",0,"weak",3,"four",4,"filler",2
"False","False","True",1,0,0,0,1,"strong",1,"four","False",1,"better",0,"some",5,"response",2
"False","True","False",1,1,1,0,0,"weak",4,"four","filler",1,"better",4,"four",3,"filler",2
"False","False","True",1,1,0,1,1,"strong",1,"four","False",0,"weak",0,"some",2,"response",2
"False","True","False",0,0,0,1,0,"weak",0,"some","True",0,"weak",0,"some",3,"response",2
"False","True","False",0,0,0,1,1,"strong",1,"four","False",0,"weak",0,"some",4,"response",2
"False","True","False",0,0,0,1,0,"weak",1,"four","False",1,"better",0,"some",5,"response",2
"False","False","False",1,0,0,1,0,"weak",0,"some","True",0,"weak",0,"some",3,"response",2
"False","False","True",1,0,0,0,1,"strong",0,"some","False",0,"weak",1,"four",2,"response",2
"False","True","False",1,0,1,1,0,"weak",0,"some","True",0,"weak",0,"some",3,"response",2
"False","False","False",0,1,1,0,1,"strong",0,"some","False",0,"weak",1,"four",4,"response",2
"True","True","True",1,1,1,1,1,"strong",0,"some","True",1,"better",0,"some",5,"response",2
"False","False","False",0,0,1,1,1,"strong",4,"four","filler",0,"weak",4,"four",2,"filler",2
"True","True","True",0,0,0,0,0,"weak",1,"four","False",0,"weak",0,"some",2,"response",2
"False","False","True",0,1,1,1,1,"strong",0,"some","False",1,"better",1,"four",3,"response",2
"True","True","True",1,0,1,0,0,"weak",0,"some","True",1,"better",0,"some",2,"response",2
"False","False","False",0,1,1,0,0,"weak",1,"four","True",1,"better",1,"four",4,"response",2
"False","False","False",1,0,0,1,1,"strong",1,"four","True",0,"weak",1,"four",4,"response",2
"True","True","True",0,0,0,0,0,"weak",1,"four","True",0,"weak",1,"four",3,"response",2
"False","False","False",0,1,1,0,1,"strong",0,"some","False",1,"better",1,"four",2,"response",2
"True","True","True",0,1,0,1,0,"weak",1,"four","True",0,"weak",1,"four",2,"response",2
"False","False","True",0,0,1,0,0,"weak",0,"some","False",0,"weak",1,"four",4,"response",2
"False","True","False",0,0,0,1,0,"weak",0,"some","False",0,"weak",1,"four",5,"response",2
"True","True","True",1,0,1,0,0,"weak",4,"four","filler",0,"weak",4,"four",3,"filler",2
"False","True","False",0,1,0,0,0,"weak",1,"four","False",0,"weak",0,"some",2,"response",2
"False","True","False",1,0,1,1,1,"strong",1,"four","True",0,"weak",1,"four",3,"response",2
"False","False","True",0,1,1,1,0,"weak",3,"four","filler",0,"weak",3,"four",4,"filler",2
"True","True","True",0,1,0,1,0,"weak",1,"four","False",1,"better",0,"some",8,"response",3
"True","True","True",0,1,0,1,1,"strong",1,"four","True",0,"weak",1,"four",2,"response",3
"False","True","False",0,1,0,0,1,"strong",0,"some","True",0,"weak",0,"some",3,"response",3
"False","False","False",0,0,1,1,0,"weak",4,"four","filler",1,"better",4,"four",3,"filler",3
"True","True","True",1,1,1,1,1,"strong",0,"some","False",0,"weak",1,"four",3,"response",3
"False","True","False",0,1,0,0,0,"weak",0,"some","False",1,"better",1,"four",2,"response",3
"False","False","True",1,1,0,1,1,"strong",1,"four","True",1,"better",1,"four",3,"response",3
"False","False","True",0,1,1,1,1,"strong",3,"four","filler",1,"better",3,"four",2,"filler",3
"False","True","False",1,0,1,1,1,"strong",0,"some","True",0,"weak",0,"some",3,"response",3
"False","True","False",1,1,1,0,1,"strong",0,"some","True",1,"better",0,"some",2,"response",3
"True","True","True",0,1,0,1,0,"weak",0,"some","True",0,"weak",0,"some",3,"response",3
"True","True","True",1,0,1,0,0,"weak",0,"some","False",0,"weak",1,"four",2,"response",3
"True","True","True",0,0,0,0,1,"strong",4,"four","filler",1,"better",4,"four",2,"filler",3
"True","True","True",1,1,1,1,0,"weak",0,"some","False",1,"better",1,"four",3,"response",3
"False","False","False",0,1,1,0,0,"weak",4,"four","filler",1,"better",4,"four",2,"filler",3
"False","False","True",1,1,0,1,0,"weak",3,"four","filler",0,"weak",3,"four",2,"filler",3
"True","True","True",0,1,0,1,0,"weak",1,"four","True",0,"weak",1,"four",2,"response",3
"True","True","True",1,0,1,0,0,"weak",1,"four","False",1,"better",0,"some",2,"response",3
"False","False","False",0,0,1,1,0,"weak",3,"four","filler",1,"better",3,"four",2,"filler",3
"False","False","False",1,0,0,1,1,"strong",1,"four","True",1,"better",1,"four",3,"response",3
"False","False","False",1,0,0,1,0,"weak",1,"four","True",1,"better",1,"four",5,"response",3
"False","False","True",1,1,0,1,0,"weak",0,"some","True",1,"better",0,"some",3,"response",3
"True","True","True",1,1,1,1,0,"weak",1,"four","True",1,"better",1,"four",2,"response",3
"True","True","True",1,0,1,0,0,"weak",4,"four","filler",1,"better",4,"four",2,"filler",3
"False","False","False",0,1,1,0,0,"weak",1,"four","False",1,"better",0,"some",2,"response",3
"False","True","False",0,1,0,0,0,"weak",1,"four","True",0,"weak",1,"four",2,"response",3
"False","True","False",0,0,0,1,1,"strong",1,"four","False",1,"better",0,"some",2,"response",3
"False","True","False",0,1,0,0,0,"weak",0,"some","False",0,"weak",1,"four",2,"response",3
"False","False","True",0,1,1,1,1,"strong",1,"four","True",1,"better",1,"four",2,"response",3
"False","True","False",1,1,1,0,1,"strong",0,"some","True",1,"better",0,"some",2,"response",3
"True","True","True",0,0,0,0,0,"weak",0,"some","True",1,"better",0,"some",2,"response",3
"False","True","False",1,0,1,1,1,"strong",4,"four","filler",1,"better",4,"four",2,"filler",3
"True","True","True",0,1,0,1,1,"strong",0,"some","False",0,"weak",1,"four",2,"response",3
"False","False","True",0,1,1,1,0,"weak",1,"four","False",1,"better",0,"some",2,"response",3
"False","True","False",1,0,1,1,1,"strong",0,"some","False",0,"weak",1,"four",1,"response",3
"False","False","False",1,1,0,0,1,"strong",1,"four","False",0,"weak",0,"some",2,"response",3
"False","True","False",1,1,1,0,1,"strong",3,"four","filler",1,"better",3,"four",2,"filler",3
"True","True","True",0,0,0,0,0,"weak",0,"some","True",1,"better",0,"some",2,"response",3
"False","False","True",0,0,1,0,0,"weak",3,"four","filler",0,"weak",3,"four",2,"filler",3
"False","False","True",1,1,0,1,1,"strong",0,"some","False",0,"weak",1,"four",2,"response",3
"False","False","False",0,1,1,0,1,"strong",1,"four","False",1,"better",0,"some",2,"response",3
"False","True","False",1,0,1,1,1,"strong",1,"four","False",0,"weak",0,"some",2,"response",3
"True","True","True",0,1,0,1,0,"weak",3,"four","filler",0,"weak",3,"four",7,"filler",4
"True","True","True",1,1,1,1,1,"strong",1,"four","True",1,"better",1,"four",3,"response",4
"True","True","True",1,0,1,0,1,"strong",1,"four","False",1,"better",0,"some",4,"response",4
"False","False","True",1,1,0,1,0,"weak",1,"four","False",0,"weak",0,"some",3,"response",4
"False","True","False",0,1,0,0,1,"strong",0,"some","False",1,"better",1,"four",3,"response",4
"False","False","True",0,1,1,1,0,"weak",4,"four","filler",0,"weak",4,"four",2,"filler",4
"False","True","False",0,0,0,1,0,"weak",0,"some","True",1,"better",0,"some",2,"response",4
"False","False","False",1,1,0,0,1,"strong",1,"four","True",0,"weak",1,"four",2,"response",4
"True","True","True",1,0,1,0,0,"weak",0,"some","True",0,"weak",0,"some",3,"response",4
"False","False","True",1,0,0,0,0,"weak",0,"some","False",0,"weak",1,"four",4,"response",4
"False","True","False",1,1,1,0,1,"strong",0,"some","True",0,"weak",0,"some",2,"response",4
"True","True","True",0,1,0,1,1,"strong",0,"some","True",1,"better",0,"some",3,"response",4
"False","True","False",1,0,1,1,0,"weak",1,"four","True",0,"weak",1,"four",2,"response",4
"True","True","True",1,1,1,1,1,"strong",0,"some","False",0,"weak",1,"four",3,"response",4
"True","True","True",0,1,0,1,0,"weak",1,"four","False",0,"weak",0,"some",3,"response",4
"False","False","True",1,0,0,0,0,"weak",4,"four","filler",0,"weak",4,"four",3,"filler",4
"False","False","False",1,0,0,1,0,"weak",0,"some","False",0,"weak",1,"four",2,"response",4
"False","False","True",0,0,1,0,1,"strong",0,"some","True",1,"better",0,"some",2,"response",4
"False","False","False",1,1,0,0,0,"weak",0,"some","False",1,"better",1,"four",2,"response",4
"False","False","False",0,0,1,1,1,"strong",1,"four","False",1,"better",0,"some",2,"response",4
"False","True","False",0,1,0,0,1,"strong",1,"four","True",0,"weak",1,"four",3,"response",4
"False","False","False",0,0,1,1,1,"strong",1,"four","False",1,"better",0,"some",2,"response",4
"False","True","False",1,1,1,0,1,"strong",3,"four","filler",1,"better",3,"four",4,"filler",4
"False","False","False",1,0,0,1,0,"weak",3,"four","filler",1,"better",3,"four",2,"filler",4
"True","True","True",0,1,0,1,0,"weak",0,"some","True",0,"weak",0,"some",3,"response",4
"False","False","False",1,1,0,0,1,"strong",0,"some","True",1,"better",0,"some",2,"response",4
"False","False","False",1,1,0,0,0,"weak",1,"four","False",1,"better",0,"some",2,"response",4
"False","False","False",0,1,1,0,1,"strong",0,"some","False",1,"better",1,"four",4,"response",4
"False","True","False",1,1,1,0,1,"strong",1,"four","True",1,"better",1,"four",4,"response",4
"False","False","False",0,0,1,1,0,"weak",1,"four","False",1,"better",0,"some",3,"response",4
"False","True","False",0,1,0,0,1,"strong",3,"four","filler",1,"better",3,"four",2,"filler",4
"False","True","False",1,1,1,0,0,"weak",3,"four","filler",1,"better",3,"four",3,"filler",4
"False","False","True",0,1,1,1,0,"weak",1,"four","True",0,"weak",1,"four",2,"response",4
"False","False","True",0,1,1,1,1,"strong",1,"four","False",1,"better",0,"some",3,"response",4
"True","True","True",1,1,1,1,1,"strong",4,"four","filler",0,"weak",4,"four",3,"filler",4
"False","False","True",0,1,1,1,1,"strong",0,"some","False",1,"better",1,"four",2,"response",4
"False","False","True",0,1,1,1,0,"weak",4,"four","filler",0,"weak",4,"four",3,"filler",4
"False","False","False",1,1,0,0,0,"weak",0,"some","False",0,"weak",1,"four",2,"response",4
"False","True","False",1,0,1,1,1,"strong",4,"four","filler",1,"better",4,"four",2,"filler",4
"False","True","False",0,0,0,1,0,"weak",0,"some","True",1,"better",0,"some",3,"response",4
"False","False","True",0,0,1,0,0,"weak",1,"four","True",0,"weak",1,"four",3,"response",4
"False","True","False",0,0,0,1,0,"weak",1,"four","True",0,"weak",1,"four",2,"response",4
"False","False","False",1,1,0,0,1,"strong",1,"four","False",1,"better",0,"some",7,"response",5
"False","False","True",1,1,0,1,0,"weak",1,"four","False",0,"weak",0,"some",3,"response",5
"False","False","False",1,0,0,1,0,"weak",0,"some","True",1,"better",0,"some",3,"response",5
"False","False","True",1,1,0,1,1,"strong",0,"some","True",0,"weak",0,"some",3,"response",5
"True","True","True",0,0,0,0,1,"strong",0,"some","False",1,"better",1,"four",2,"response",5
"False","True","False",0,0,0,1,0,"weak",4,"four","filler",1,"better",4,"four",2,"filler",5
"True","True","True",0,1,0,1,1,"strong",4,"four","filler",0,"weak",4,"four",3,"filler",5
"False","False","False",0,1,1,0,0,"weak",0,"some","False",0,"weak",1,"four",5,"response",5
"False","False","False",0,1,1,0,0,"weak",4,"four","filler",1,"better",4,"four",2,"filler",5
"True","True","True",0,0,0,0,1,"strong",1,"four","True",0,"weak",1,"four",3,"response",5
"True","True","True",0,0,0,0,0,"weak",0,"some","False",1,"better",1,"four",3,"response",5
"False","False","False",1,1,0,0,1,"strong",1,"four","True",0,"weak",1,"four",2,"response",5
"False","False","True",0,0,1,0,1,"strong",3,"four","filler",1,"better",3,"four",3,"filler",5
"True","True","True",0,1,0,1,0,"weak",3,"four","filler",0,"weak",3,"four",2,"filler",5
"False","False","True",1,0,0,0,0,"weak",1,"four","True",0,"weak",1,"four",3,"response",5
"False","False","False",0,1,1,0,0,"weak",0,"some","True",0,"weak",0,"some",2,"response",5
"False","False","True",0,1,1,1,1,"strong",0,"some","False",1,"better",1,"four",2,"response",5
"False","False","False",1,1,0,0,1,"strong",0,"some","True",1,"better",0,"some",2,"response",5
"True","True","True",1,1,1,1,0,"weak",0,"some","True",1,"better",0,"some",2,"response",5
"True","True","True",1,0,1,0,1,"strong",0,"some","True",0,"weak",0,"some",2,"response",5
"False","True","False",1,1,1,0,1,"strong",1,"four","False",0,"weak",0,"some",2,"response",5
"False","False","False",0,1,1,0,1,"strong",3,"four","filler",1,"better",3,"four",3,"filler",5
"False","False","False",1,1,0,0,1,"strong",3,"four","filler",0,"weak",3,"four",2,"filler",5
"False","True","False",0,1,0,0,0,"weak",0,"some","False",0,"weak",1,"four",2,"response",5
"False","True","False",1,1,1,0,0,"weak",1,"four","False",0,"weak",0,"some",2,"response",5
"False","True","False",1,0,1,1,0,"weak",3,"four","filler",0,"weak",3,"four",2,"filler",5
"False","False","True",0,1,1,1,1,"strong",1,"four","True",1,"better",1,"four",2,"response",5
"False","False","True",1,1,0,1,0,"weak",1,"four","True",1,"better",1,"four",1,"response",5
"False","False","True",1,1,0,1,1,"strong",1,"four","True",1,"better",1,"four",2,"response",5
"True","True","True",1,0,1,0,0,"weak",1,"four","True",1,"better",1,"four",2,"response",5
"False","False","False",1,1,0,0,1,"strong",4,"four","filler",1,"better",4,"four",2,"filler",5
"False","True","False",1,0,1,1,0,"weak",1,"four","False",0,"weak",0,"some",2,"response",5
"False","False","False",1,1,0,0,0,"weak",4,"four","filler",0,"weak",4,"four",2,"filler",5
"False","False","True",1,1,0,1,0,"weak",0,"some","True",0,"weak",0,"some",2,"response",5
"False","True","False",1,1,1,0,1,"strong",0,"some","False",1,"better",1,"four",1,"response",5
"False","False","False",1,0,0,1,0,"weak",0,"some","False",1,"better",1,"four",2,"response",5
"False","False","True",1,1,0,1,1,"strong",1,"four","False",1,"better",0,"some",2,"response",5
"False","True","False",1,0,1,1,1,"strong",0,"some","False",0,"weak",1,"four",2,"response",5
"False","True","False",1,1,1,0,0,"weak",1,"four","True",0,"weak",1,"four",2,"response",5
"False","False","False",0,0,1,1,1,"strong",0,"some","True",0,"weak",0,"some",2,"response",5
"False","True","False",0,1,0,0,1,"strong",1,"four","False",0,"weak",0,"some",2,"response",5
"True","True","True",1,1,1,1,0,"weak",1,"four","False",0,"weak",0,"some",2,"response",5
